German,English
Was ist das beliebteste Gericht?,What's your most popular dish?
Hallo,Hello [any time of day]
Bitte wiederholen Sie das,Can you say that again please?
Wie geht’s?,How are you?
Was ist das?,What is this?
Schreiben Sie das bitte für mich auf?,Can you write that down for me?
Guten Morgen,Good morning
Was für Bier haben Sie?,What type of beer do you have?
Und wenn ich das alles kaufe?,If I buy these together? [A useful way to knock the price down]
Guten Tag [lit. good day],Good afternoon
Ein kleines Bier bitte,A small beer please
Das ist mir zu teuer,it's too expensive for me
Guten Abend,Good evening
Ein großes Bier bitte,A large beer please
Geben Sie mir einen Rabatt?,Can you give me a discount?
Gute Nacht,Good night
Bringen Sie mir bitte eine Auswahl von leckeren Sachen,Please bring me a selection of nice things
Ich suche nach _____,I'm looking for a _____
Vielen Dank,Thank you very much
Bitte wählen Sie etwas,It's up to you / You can decide
Ich schaue mich nur um,I'm just looking around
Ich danke Ihnen auch,Thank you too [in reply to “thank you” from someone else else]
Die Rechnung bitte,The bill please
Danke ich suche noch weiter,Thank you I'll keep looking [if you're getting hassled to buy something]
Tschüss bis zum nächsten Mal,Goodbye see you next time
Kann ich bitte die Speisekarte haben?,Can I have the menu please?
Moment bitte,Just a moment
Schönes Wetter heute nicht wahr?,It's lovely weather today isn't it?
Ich möchte nach _____,I want to go to
Ja bitte,Yes please
Mein Name ist _,My name is _____
Wann fährt der nächste Zug / Bus nach _____?,What time is the next train / bus to __?
Nein danke,No thanks
Ich bin SuidAfrikaner (male),I'm South African
Was kostet das?,How much is it?
Können Sie mir bitte helfen?,Can you help me please?
Ich bin SuidAfrikanerin (female),I'm South African
Einmal /  zweimal (nach _____) bitte,1 ticket / 2 tickets (to _____) please
Ich brauche einen Arzt,I need to see a doctor
Woher kommen Sie?,Where are you from?
Wie lange dauert das?,How long does it take?
Es geht mir nicht gut,I do not feel well
Freut mich,Nice to meet you!
Wohin muss ich jetzt gehen?,Where should I go now?
Es geht ihm / ihr nicht gut,he / she does not feel well
Es tut mir leid aber ich verstehe nicht,I'm sorry but I do not understand
Wann fährt er ab?,When does it leave?
Gibt es ein Krankenhaus in der Nähe?,Is there a hospital near here?
Ich spreche nicht gut Deutsch,I do not speak German very well
Wie spät ist es (jetzt)?,What time is it (now)?
Fahren Sie mich bitte zum Krankenhaus,Take me to the hospital [To a taxi driver]
Können Sie das bitte wiederholen?,Could you say that again please?
Hält der Zug /  Bus in _?,Does this train / bus stop in _____?
Es tut hier weh,It hurts here [pointing to body part]
Können Sie bitte langsamer sprechen?,Could you say that more slowly please?
Entschuldigen Sie ist dies _____?,Excuse me is this _____ ? [Useful when you're on the bus / train and are not sure when to get off]
Ich brauche Medizin,I need some medicine
Schreiben Sie das bitte für mich auf,Please write that down for me
Können Sie das bitte für mich aufschreiben?,Can you write that down for me?
Es tut mir leid Sie zu stören aber…,I'm sorry to bother you but …
Was bedeutet das?,What does that mean?
Zeigen Sie mir das bitte auf der Karte?,Can you show me on the map?
Kann ich Sie schnell etwas fragen?,Could I ask you something quickly?
Sprechen Sie Englisch?,Do you speak English?
Wo ist _____ auf der Karte?,Where is _____ on the map?
Ich suche ein Restaurant mit gutem Essen hier in der Nähe,I'm looking for a place with good food around here
Es tut mir leid,I'm sorry
Entschuldigung darf ich Sie etwas fragen?,Excuse me could I ask you something?
Ich suche ein nettes Café in der Nähe,I'm looking for a nice cafe in the area
Ich weiß nicht,I do not know
Ich möchte nach _____,I want to go to _ [If you know the name of your destination]
Wissen Sie etwas über _____?,Do you know anything about _____ ?
In Ordnung,All right
Ich möchte dahin,I want to go here [Pointing to your destination on the map]
Gibt es hier in der Nähe etwas Interessantes zu sehen?,Is there anything interesting to see in this area?
Macht nichts,never mind
Ich habe mich verlaufen,I'm lost (on foot)
Trotzdem danke,Thank you anyway [if the person can not help you]
Ein Tisch für eine Person bitte,A table for one please
Ich habe mich verfahren,I'm lost (by car)
Bitteschön,You’re welcome
Ein Tisch für zwei Personen bitte,A table for two please
Wie komme ich dahin?,How can I get there?
Mache ich,I’ll do it
Haben Sie schon auf?,Are you open yet?
Geht es hier lang?,Is it this way? [Useful for checking if you're walking in the right direction]
Gerne,Gladly
Können wir (auf einen Tisch) warten?,Can we wait (for a table)?
Zeigen Sie mir das bitte auf der Karte?,Can you show me on the map?
Können wir dort sitzen?,Can we sit over there?
Wo ist __?,Where is _ ?
Entschuldigung!,Excuse me! [Calling a waiter]
Das gefällt mir,I like this
Was empfehlen Sie?,What do you recommend?
Was kostet das?,How much is this?